age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_strk,ylds_rate_strk,dw_adj_strk,prevalence_strk,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,incidence_copd,remission_copd,case_fatality_dmt2.x,incidence_dmt2.x,remission_dmt2.x,case_fatality_dmt2.y,incidence_dmt2.y,remission_dmt2.y,case_fatality_ishd.x,incidence_ishd.x,remission_ishd.x,case_fatality_ishd.y,incidence_ishd.y,remission_ishd.y
58,female,58_female,0,0,0.1783453266715342,0,0.0011357119168281455,0,0,0,0.0019938266673980186,0,0,0,0.0019002202874406115,0,0,0,0.014092427958699161,0,0,0.003140492624926593,0.003343248956651285,0,0.0014873093976493714,0.0061849417375225806,0,0,0,0,0.022094057113722934,0.002074120301522845,0,0,0,0
59,female,59_female,0,0,0.18008334733992865,0,0.0012352377734909947,0,0,0,0.0021095693513469567,0,0,0,0.002047295347586089,0,0,0,0.014748357861395785,0,0,0.0032699013051767064,0.0036185282244639615,0,0.0015743859845067298,0.0062583677848003115,0,0,0,0,0.023257727034225573,0.002258054825859679,0,0,0,0
60,female,60_female,0,0,0.18190892662445335,0,0.0013442170041080036,0,0,0,0.0022293974058124437,0,0,0,0.0022016343569892134,0,0,0,0.015410950484377111,0,0,0.0034331239989788486,0.00391779271636395,0,0.001674276526920229,0.006302123715242141,0,0,0,0,0.024464062145218915,0.002454576655037015,0,0,0,0
61,female,61_female,0,0,0.18389540084826747,0,0.0014598625812512521,0,0,0,0.0023527307352501337,0,0,0,0.002365436852301123,0,0,0,0.016065312595880406,0,0,0.0036319654427354863,0.004245780459903099,0,0.0017876057799975798,0.006310223468281502,0,0,0,0,0.02569061175819804,0.00266557877523337,0,0,0,0
62,female,62_female,1263609.9970493051,0,0.1861195049065347,0,0.0015782132009999996,0,0,0,0.002478858768999999,0,0,0,0.0025415129025192,0,0,0,0.01669433084,0,0,0.0038648203664758607,0.004599950397871956,0,0.0019146644680736635,0.00627163148501551,0,0,0,0,0.026957369703286337,0.0028904330192628656,0,0,0,0
63,female,63_female,0,0,0.18858019303493098,0,0.0016990716217351993,0,0,0,0.00260343806935199,0,0,0,0.002729561941310421,0,0,0,0.017296745597390917,0,0,0.004133950597026288,0.004991519970864408,0,0.002054920434501708,0.006182040128374474,0,0,0,0,0.02827024793859411,0.0031284413223624944,0,0,0,0
64,female,64_female,0,0,0.19123685244650526,0,0.0018247013767290748,0,0,0,0.002725980714697507,0,0,0,0.002928449332595198,0,0,0,0.017877684590883652,0,0,0.004444914069965809,0.00542116042851091,0,0.0022098291247416293,0.0060354773933525094,0,0,0,0,0.029656165289107944,0.0033812178194402216,0,0,0,0
65,female,65_female,0,0,0.19411089781061924,0,0.001953593430669714,0,0,0,0.0028523100925778597,0,0,0,0.003140648118003432,0,0,0,0.018427500675739672,0,0,0.004794723752187769,0.005896022178195233,0,0.0023791485816596074,0.005836705714525524,0,0,0,0,0.03112268390369266,0.0036509960537398204,0,0,0,0
66,female,66_female,0,0,0.1972252731031669,0,0.002083852713483648,0,0,0,0.00298942389039466,0,0,0,0.0033692274658854277,0,0,0,0.018935932334768292,0,0,0.005183987483335144,0.006424431463657755,0,0.002563373653693699,0.005581579068710172,0,0,0,0,0.032682247938134706,0.003939155623626789,0,0,0,0
67,female,67_female,1003857.49034014,0,0.20060466438022187,0,0.0022131888555536,0,0,0,0.003145672001921401,0,0,0,0.0036179582540838006,0,0,0,0.019392278659999995,0,0,0.0056155951530368516,0.007007799822782502,0,0.0027624681599653584,0.00527397387753452,0,0,0,0,0.034385253620593616,0.004246208424507421,0,0,0,0
